"(0,20]","(20,40]","(40,60]","(60,80]","(80,100]","(100,120]","(120,140]","(140,160]","(160,180]","(180,200]","(200,220]","(220,240]","(240,260]","(260,280]","(280,300]","(300,320]","(320,340]","(340,360]","(360,380]","(380,400]","(400,420]","(420,440]","(440,460]","(460,480]","(480,500]","(500,520]","(520,540]","(540,560]","(560,580]","(580,600]","(600,620]","(620,640]","(640,660]","(660,680]","(680,700]","(700,720]","(720,740]","(740,760]","(760,780]","(780,800]","(800,820]","(820,840]","(840,860]","(860,880]","(880,900]","(900,920]","(920,940]","(940,960]","(960,980]","(980,1000]",gender
7434.405,6348.346,5449.441,18533.21,185716.0,441134.8,694389.6,1120285.0,1353675.0,1543534.0,1441125.0,1520071.0,1638775.0,2039640.0,2393762.0,2656676.0,2877863.0,2396981.0,1850232.0,2025141.0,2033885.0,2387794.0,3928389.0,4334625.0,4545035.0,4794960.0,4690804.0,3985876.0,2419926.0,2058350.0,1583675.0,1716820.0,1514472.0,1338226.0,1517319.0,2246581.0,2345287.0,1682107.0,1235864.0,1077076.0,992675.9,943560.4,640208.6,768789.7,456464.0,479506.4,497623.8,524485.5,446651.4,390986.3,e_male
112564.3,125330.9,136090.0,111778.5,87965.91,213227.2,354278.4,791295.9,1465158.0,3117849.0,6331527.0,7342408.0,6659761.0,13160690.0,15047680.0,7300456.0,2704981.0,3275187.0,2416743.0,1952709.0,1842274.0,2462562.0,6795933.0,7149290.0,8498176.0,10169670.0,13442310.0,10830810.0,10920970.0,5648094.0,1932616.0,1627101.0,1739197.0,2297622.0,2279447.0,1428175.0,2353619.0,5174030.0,4791025.0,6065645.0,6686706.0,6210208.0,5871423.0,4944924.0,2111783.0,824674.4,287462.5,436458.7,593761.0,640717.2,female
3148696.0,2365116.0,1937432.0,2450366.0,3430360.0,3834001.0,6664474.0,7317787.0,7275864.0,3146127.0,2968607.0,3006476.0,5594273.0,8692540.0,6236855.0,5069345.0,10055380.0,7181496.0,5984960.0,4252879.0,4775671.0,6382118.0,6300104.0,12002550.0,15284880.0,9305632.0,12917830.0,11191130.0,14493730.0,6980443.0,6631139.0,6138313.0,6668954.0,4319598.0,3685734.0,4967049.0,3205537.0,5298505.0,3076151.0,3657021.0,2711521.0,4263432.0,4030016.0,3669894.0,2629456.0,4167671.0,4235676.0,2615124.0,3786888.0,5256918.0,e_male
812275.5,717293.9,583557.3,486411.1,599908.8,1584486.0,3619315.0,7372165.0,11876960.0,13249320.0,12537520.0,8026350.0,4658822.0,3838629.0,4711493.0,4807366.0,6848493.0,7505514.0,6125724.0,6757084.0,12119950.0,21727100.0,12283310.0,18072410.0,27454120.0,17636810.0,15932830.0,10186670.0,5624532.0,7618106.0,6519469.0,6309794.0,3504407.0,5369451.0,4770974.0,3049423.0,3388136.0,2054652.0,2414728.0,2269756.0,1936048.0,1690142.0,1113590.0,738183.7,506941.0,414339.8,445528.9,549684.9,429554.5,435120.0,e_male
2029.404,2575.746,12658.03,82938.56,113446.9,190429.6,207445.7,116388.7,134405.7,612145.9,989257.8,1675214.0,1435317.0,879909.2,665504.7,352772.3,319473.3,347920.6,436499.4,545736.6,911729.5,1374516.0,1934202.0,2046669.0,4007376.0,3675031.0,3966380.0,3510818.0,2148384.0,1119261.0,1383496.0,1044113.0,1135963.0,548099.8,391807.5,243069.4,280998.9,517792.7,409431.4,399613.2,523359.1,547516.4,794314.5,1040467.0,1118022.0,932521.6,1034745.0,1062760.0,1025587.0,918063.2,e_male
5025.421963,3490.844939,5217.280546,9261.510623,30854.779837,47973.00138,65948.75255,93284.684452,113275.377649,142248.139799,131547.652458,116263.397303,65294.772019,110279.773254,132422.063269,172866.12585,182781.383609,215976.884469,143577.053521,88402.507964,22771.370524,24060.097864,34406.23634,40966.844246,35264.501325,22306.244536,13524.726018,10027.8779,5756.115378,7036.618651,7829.99535,5637.800559,7867.701695,6730.089582,7270.849439,5266.664792,5957.865355,5275.853339,3746.180981,4145.403665,3743.42737,2781.868738,3255.460188,2980.947716,3260.631395,3208.305336,2909.096741,2365.526002,2755.195227,2909.464398,female
14560.8,13663.18,13739.9,17806.31,53997.1,143236.5,440391.8,731603.3,1739701.0,3247340.0,3157040.0,1868111.0,1794309.0,1637570.0,1584631.0,1297815.0,1477717.0,1410800.0,2027608.0,1960054.0,2843666.0,2801010.0,3694601.0,4645004.0,3841939.0,5716365.0,6003865.0,7393107.0,7880912.0,9309718.0,9417713.0,6045601.0,3071197.0,1649683.0,1750853.0,1870295.0,1676344.0,1671844.0,2653092.0,1930476.0,1910953.0,2408889.0,1218790.0,945508.1,734382.7,1409592.0,1855551.0,1766954.0,2280164.0,3430875.0,e_male
182061.3,190553.6,218644.8,282976.5,862325.3,3068645.0,5090162.0,4093456.0,5328222.0,6489645.0,6292294.0,4615815.0,4646209.0,6027165.0,5759286.0,4865107.0,4133339.0,2728659.0,3568743.0,3091748.0,2674223.0,4822007.0,4811742.0,4786551.0,4340071.0,4832220.0,3381735.0,3283896.0,5440895.0,6181986.0,5506953.0,6597112.0,6609576.0,5125852.0,3240972.0,3243478.0,3233033.0,2878644.0,2328044.0,2056312.0,1881888.0,1978861.0,2419628.0,1512076.0,1770000.0,1357315.0,984270.3,1045074.0,1506644.0,1219284.0,female
401526.3,376996.8,384693.6,363294.0,432555.7,711400.9,1567582.0,2970700.0,4248100.0,6335608.0,10566150.0,14837430.0,17722410.0,18605330.0,9045191.0,5689490.0,4761330.0,5267964.0,5038787.0,4538601.0,5274305.0,9362224.0,13046600.0,18026840.0,21515740.0,17786880.0,14185840.0,13416220.0,11371690.0,7116994.0,6302626.0,4209548.0,3327932.0,1800559.0,1320327.0,1480812.0,1991062.0,2379355.0,2156096.0,2867320.0,4239886.0,4392284.0,4287193.0,6188491.0,4291724.0,3885674.0,4257620.0,3698030.0,3240493.0,2514062.0,e_male
107479.7,149525.7,326502.4,2071411.0,1558501.0,2734449.0,12820040.0,14007020.0,4458086.0,2178558.0,1903129.0,2942957.0,3989626.0,8458661.0,13004710.0,10002030.0,1893596.0,708189.5,1026342.0,1724035.0,2778955.0,5566826.0,4010902.0,1269129.0,613177.5,753687.1,1344622.0,2066615.0,3727563.0,4599660.0,3225384.0,680871.7,1193505.0,3939360.0,7111661.0,9248866.0,14043810.0,6980961.0,5277499.0,3908045.0,6001763.0,6389958.0,7068722.0,5229194.0,3832158.0,3410403.0,2255059.0,2380447.0,2492326.0,1740013.0,e_male
372597.8,348456.7,389022.9,550293.1,927607.5,1924431.0,5490841.0,6900874.0,10748000.0,10787850.0,7680806.0,15138640.0,12309700.0,12104020.0,26279630.0,20984520.0,9406602.0,10187750.0,11320230.0,10194750.0,13267490.0,10178440.0,11825110.0,13264870.0,14079440.0,10321430.0,18719050.0,35622560.0,21136220.0,16183400.0,24409710.0,18657400.0,10240390.0,9474751.0,14607960.0,13361010.0,10523420.0,6693312.0,5938113.0,5401057.0,6633295.0,4926310.0,4621046.0,3899451.0,5587749.0,5067286.0,6320013.0,4511461.0,2933109.0,2851566.0,e_male
1425.852632,1362.577411,1217.708405,1484.983589,1368.18251,1549.925134,2613.842032,2595.846725,2588.113482,3390.98949,5618.21051,6874.689175,15363.556926,18747.651838,28126.087876,27354.834186,23616.45201,31966.152865,28940.605805,29656.026613,95993.278647,241430.430443,161185.585347,38123.784988,29316.698188,16644.133001,9275.977359,7574.595117,6224.169968,5926.348509,6866.093248,8191.491178,10223.046306,9669.274878,19711.4814,21695.165423,19920.403103,10263.012753,4162.395687,10612.738875,11874.252591,16739.12124,18154.625962,44119.145489,32394.448179,35545.186175,14257.89164,7167.83069,11370.798668,8992.767218,e_male
